latitude , longitude,address,name 
19.016976,72.847592,808 Dr Ambedkar Road Opp Dadar T T Corcle Dadar East Mumbai-,B N D Onco Center
19.0194936,72.8467661,"Bhgyalaxmi, 157 Hindu Colony , Dadar , Mumbai",Dr Khandeparkars Nursing Home
19.1365997,72.8566074,"Kesar Plaza, Caves Road, Station Road, Jogeshwari (E)",Dr Kulkarni Hospital
19.0759837,72.8776559,"Ghamat Logde, 2Nd Floor, Anov Ing Vyasya Bk, Dr B Ambedkar Rd Dadar T T Mumbai",Dr M B Agarwalclinic
19.0146087,72.8427525,10/86 Dadasaheb Phalka Rd Dadar,Dr R M Jangada Clinic Dadar
19.0160002,72.8431146,"172 -A Naigaum, Dadar,",Dr. Karmarkar Hospital
19.0187882,72.848917,"804-A, Ghamat Bldg., 4Th Floor, Dr.B.Ambedkar Road, Dadar Tt",Elixir Hospital
19.0099129,72.8426858,Shilpa Apartment Dasturwadi Dadar E Mumbai,G S B S Medical Trust
19.0759837,72.8776559,2 Nd Floor Ghamat Lodge 804/A Dr B Ambedkar Road Above Ing Vysys Bank Dadar Tt Mumbai-,Haematology Centre
19.0228246,72.8534206,"166-C Krishna Kunj,Khareghat Road, Dr.Ambedkar Road,Dadar( E), Mumbai",Krishna Cardiac Care Centre
19.020546,72.8487169,"180, Saraswati Nilayam, 180 Hindu Colony , Dadar ( East ) , Mumbai",Laud Clinic
19.0207984,72.8384577,"12, Gyan Mandir Road, Dadar West",Navneet Jain Health Center
19.0759837,72.8776559,"Imperial Mahal, 2Nd Floor Khodadad Circle, Dadar Tt, Mumbai",Prof (Dr.) M B Agarwals Haematology Day Care Centr
18.9635287,72.8280994,"128, Hindu Colony, 5Th Lane, Dadar(East), Mumbai",Shree Samarth Nursing Home
19.021324,72.8424178,"""Shreyas"", 120, Hindu Colony, 5Th Road, Dadar, Mumbai",Shrikhande Clinic
19.0099129,72.8426858,"15 Vincent Court, 1St Floor, Dr Ambedkar Road, Opp Chitra Cinema, Near Fire Brigade, Dadar(E)",Suprabha Surgicare
19.0759837,72.8776559,"1, Nanji Bld., Acharya Donde Marg., Scwrce Bombay",Dr. Haresh L Gala Clinic-Acharya Donde Marg.
19.0759837,72.8776559,"Cross Road, Opposite Sweree Raliway, Sewree (W),Mumbai",Sewree Nursing Home
19.0414516,72.8453359,"3, Nitya Sahaya, Marinagar, Mahim (W), Mumbai",Dr. Fonsecas Maternity and Surgical Home
19.0351534,72.8404432,"Plot No.16 Next To Citylight Cinema, L J Rd, Mahim Mumbai",Dr. Mathure`S Surgical Clinic
19.0351534,72.8404432,Vidya Building Kotnis Path Near Hinduja Hospital Mahim Mumbai,"Dr.(Mrs,) Renu L. Vallicha"
19.0334876,72.8463712,"Maternity & Nursing Home, Kanara House, Mogal Lane Mumbai",Dr.Koppikars Family Clinic
19.0298134,72.8398724,"Rajdeep, 143, Lt. Dilip Gupte Road, Mahim Mumbai",Gupte Maternity and Surgical Home
19.0351534,72.8404432,"13, Rameshwar, 1St Floor, Opposite Citylight Cinema, 206, K.J. Road, Mahim, Mumbai",Nadkarni Clinic
19.0353124,72.8436859,"Travasso Mansion, Girgaonkar Wadi, Opposite Udyog Mandir, Next To Mehta Park, Off Sitladevi Temple Road, Mahim, Mumbai",Netra Retina And Laser Centre
19.0338576,72.8423219,"185/B,Lady Jamshedji Road, Mahim, Mumbai",North Bombay Clinic Surgical and Maternity Home
19.0374901,72.8390644,"Veer Savarkar Marg, Mahim, Mumbai,",P D Hinduja National Hospital and Medical Research Centre
19.0281662,72.8382547,139 Unity Frd Floor Rd No 5 Shivaji Park Mumbai,Rajvi Clinic
19.032012,72.8401043,"Raheja Rugnalaya Marg, Mahim (West), Mumbai",S.L. Raheja Hospital
19.0310674,72.8453376,"2, Anand Sagar, Mogal Lane Matunga Bombay",Shree Saraswati Nursing Home
19.0313867,72.8379652,"220, Jehangir Baug Veer Savarkar Marg, Mahim Mumbai",Triveni Nursing Home
19.0463778,72.8543168,"Jeevan Hall Building, 2-A, Dharavi Main Road",Ayurseva Hospital
19.0402084,72.8508504,"111/112, New Nehru Nagar Co-Op Hsg.Soc, Plot No.27, 90 Feet Road OppositeHindustan Co Op Bank Ltd Dharavi.Mumbai-",Bava Medical Centre
19.0390744,72.8527492,"1St Flr, United Enclave 60Ft Road, Dharavi",Dhanwantari Nursing Home and Diagnostic Centre
19.0480285,72.857092,"112,B-Wing & 101, A-Wing, Sankalpana, Corner Of 90 Ft. Road & Sion-Bandra Link Road, Dharavi",Dr. Sushil D Nakhates Child Care Centre and Shruti Nursing Home
19.0480285,72.857092,"Priyadarshini Co-Op. Hsg.Soc.,Room No.102,G-Wing, 1St Floor,OppositeNew Ongc Tower, Sion-Bandra Link Road, Dharavi, Mumbai",Lfe Care Hospital - Dharavi
19.0402084,72.8508504,"Ground, 1St, 2Nd, 3Rd Floor, At Masiha Islampura Chs. Ltd., Behind Sion Hospital, Near Dharavi Police Station, Dharavi",Sai Medicure Services Pvt. Ltd. (Sai Hospital)
18.9872015,72.8290456,"395-A G.K. Marg, Worli, Mumbai",Nirmal Clinic
18.9997784,72.8169357,Podar Hospital Campus Dr Annie Besant Road Worli Mumbai,R R A Podar Central Research Institute
19.0062696,72.8206853,"3Rd Floor, Sadhana House Behind Mahindra Towers, Pandurang Budhkar Marg, Worli, Mumbai",Reliance Life Sciences Pvt. Ltd
19.1509879,72.9315251,"Vakratunda Palace, Tank Road, Lodha Imperia, Bhandup (W), Mumbai",Saarthi Hospital
19.0031932,72.8192367,"50, B D D Chawl, Dr.G M Bhosale Marg,Opp Jambori Maidan, Worli Mumbai",The Bombay Mothers and Children Welfare Societys
19.0792247,72.9057813,"1, 2, 3, Gautam Building, Opposite Balaji Temple, Tilak Road, Ghatkopar (East)",Dr Trivedis Maternity and Nursing Home
19.023947,72.8529909,Kapole Niwas 590 Dr Ambedkar Road Matunga Cr Mumbai,Dr V T Shah Diagnostic Centre and Clinic
19.0252685,72.8523958,"1/320, Shridhar Niwas,Sir Bhaichandra Road, Matunga Mumbai",Dr.Chhatres Maternity and Surgical Nursing Home
19.0336548,72.854459,153-B Dongre Building Hindu Colony Opp Ruia College Matunga (Cr) Mumbai,Icon The Eye Consultants Eye and Laser Centre
19.0759837,72.8776559,"225/A, Shreekrishna Bhavan, Behind Ruia Collage, Sir Bhakhadra Rd., Matuya, Mumbai",Insight Eye Clinic
19.0759837,72.8776559,"Sanjay, Gr. Floor, Plot 376, Telang Cross Road No.2, Near Mutunga (Cr) P.O.Mumbai",Jashem Eye Institute
19.0099,72.820598,Matunga,Lions Club Of East Bombay
19.022637,72.851028,Flat 2 Ground Floor Vasudev Sadan 207 D Dr Ambedkar Road Matunga,Siddhamrut Clinic
19.0304554,72.8469971,"Star Of Cochin Building, Bhandarkar Road, Matunga (C.R.),Bombay",Visaria Nursing Home - Matunga
18.9389181,72.8286535,"12, Sir V. T. Marg, New Marine Lines, Marine Lines, Mumbai,",Bombay Hospital and Medical Research Centre
18.9457243,72.8237605,"3D Kakad House, 3Rd Flr, Opposite Liberty Cinema, Marine Lines, Mumbai",Zain Eye Care
19.0759837,72.8776559,"4Th Floor, Mahashi Karve Rd, Cooperage, Mumbai-",Lady Ratan Tata Medical Centre
19.0759837,72.8776559,"9Th Floor, Room No-91, Lady Ratan Tata Medical & Research Centre 31, M.Karve Road Cooperage Mumbai",Vinod Sharma Memorial Medical Centre
19.0394894,72.8597092,"Rajgir Sadan, Ground Floor, Laxmi Baug, Opp Sion Rly. Stn., Sion (W), Mumbai,",Ashirwad Nursing Home
19.0351454,72.8663173,"103, Jai Ganesh Co-Op Soc, Plot No 206, Opp Sion Hosp-Sion East-Mumbai",Dr Savlas Child Care Centre
19.0397531,72.8611975,"6/206, Shiv Mahal Chs, Sion Main Road, Sion , Mumbai,",Dr. Deosthaci's Eye Care Centre
19.0516931,72.8691602,"B- Bhagnari Co-Op, Hsg, Society Sion-Duncan Causeway Road, Next To Chunabhatti Rly Chunabhatti Mumbai",Dr.Patrawala`S Kalpana Nursing Home
19.0381054,72.8596712,Lion Tarachand Bapa Hospitasl 2Nd Floor Jain Society Sion W Mumbai,Endoscopy Asia
19.0351454,72.8663173,Sion(E),Iyers Polyclinic
19.0351454,72.8663173,"102, Maryland Corner, Plot No.39, Next To Hp Petrol Pump,Sion(E), Mumbai,",Krishna Eye Centre
19.0349625,72.8601821,218 Sion East,Mata Lachmi Hospital
19.0351454,72.8663173,"4Th Floor, (Tower Block), Jasubhai R K Shah Medical Centre 292,Comrade Harbansial Marg, Sion East, Mumbai",Shanmukhananda Aditya Jyot Eye Institute - Sion - Mumbai
19.0176169,72.8561288,Mumbai,Shanmukhananda Jasubhai Rkshah Medical Centre
19.0390214,72.8618952,Sion,Shri Vaishnav Seva Samaj Public Charitable Trust -
19.082354,72.9051026,"101-102, Gayatridham, Derasar Lane, Ghatkopar(E)",Varun Cardiac Clinic
19.0898792,72.908696,"C Wing, 4Th Floor Bhaweswar Plaza, Shreyas Cinema, Lbs Marg Ghatkopar - West Mumbai",Amrutha Surgical And Maternity Home
19.0579437,72.8412418,"D-28 & 29, Nehru Nagar, Station Road, Kurla (East),Mumbai",Aryan Hospital and Iccu - Kurla-Mumbai
19.0639898,72.8825627,"121, Nehru Nagar Kurla (East) Mumbai",Ashvini Maternity and Surgical Nursing Home
19.0158466,72.8279973,"Gyaneshwar Appt, Ii Floor,Next To Kismat Cinema, Prabhadevi, Mumbai",Asha Surgical and Maternity Home Laparoscopy and Famil
19.0759837,72.8776559,Irani Building 1St Floor Kismat Cinema Compound Prabhadevi Naka Near Prabhadevi Mandir Mumbai,Dr.D.M.Beke
19.0137008,72.8294379,"B1, Manoj Ground Floor, Shankar Ghanekar Marg, Prabhadevi, Mumbai",Fayth Clinic
19.0181462,72.8357351,"101, 1St Floor Inder Tower, Gokhale Road (S) Dadar (W)",Punamiya Hospital
19.0158466,72.8279973,"Block No 104, Gyaneshwar Apartment, Prabhadevi Naka, Prabhadevi, Mumbai",Savla Medical Center
19.0235976,72.8378125,"Ishaan, 1St Floor, Khed Gully, Prabhadevi, Dadar West",Siddivinayak Healthcare Pvt Ltd
19.0096924,72.8299301,Kamgar Nagar No 1 Chawls No 1/12 New Prabhadevl Road Mumbai,Sidhivinayk Clinic
19.0254538,72.8357672,"Gyaneshwar Apt, 2Nd Floor, Veer Savarkar Marg,Prabhadevi, Mumbai",Tirtha Surgical and Maternity Home
18.972711,72.804394,No. 60 -A Bhulabhai Desai Road,Breach Candy Hospital Trust
18.9714675,72.8095069,"Pedder Poly Clinic, Makani Opp Jaslok Hospital Pedder Road Mumbai",Doshi Eye Care
19.0759837,72.8776559,Mumbai Tel--23802584,Gynaecworld
19.0759837,72.8776559,"404/408, Doctor Centre, Kempus Corner, Mumbai",Right Sight Eye Clinic
18.9678635,72.8089613,"5,Pashmina Peddar Road, Mumbai",Soonawala Clinic
18.9821993,72.8382547,"Victoria Road, Cross Lane No.Iii, Byculla (E), Mumbai,",Balaji Hospital
19.0759837,72.8776559,"104, Ramgiri Heights, Mtnl Marg, Dadari (W), Mumbai,",Ashtavinayak Maternity Surgical and Eye Hospital
19.0235976,72.8378125,"Mohan Nivas, Keluskar Road, Opposite Masaheb Thakre Statue, Shivaji Park, Dadar (W)",Ashvini Nursing and Maternity Home
19.0759837,72.8776559,"Flat No-01,Shankar Niwas,Plot No-117,Shivaji Park Lane No-03,Opp Sena Bhawan,Shiva Ji Park.Mumbai",Deccan Fertility Clinic and Keyhole Surgery Center
19.0759837,72.8776559,"Shilpa Appts, 1St Floor, Shankar Ghanekar Marg, Off Gokhle Road (S) Mumbai",Dev Nursing Home
19.0256197,72.8372812,"1 Trimurti, Ground Floor, 64, Shivaji Parak, Keluskar Road (S), Dadar, Mumbai",Dnyan Geeta Nursing Home
19.0235976,72.8378125,"Vidya Bhuvan 121, Shivaji Park, Opp Shiv Sena Bhavan Dadar - West Mumbai",Dr Thakur Hospital
19.0235976,72.8378125,"Ground Floor, 74, Anant Niwas, Keluskar Road, Near Shivaji Ground, Shivaji Park, Dadar West,",Dr.Patkars Surgical Nursing Home
19.0241157,72.8365432,"Meghdoot, S.H.Paralkar Marg, Shivaji Park, Dadar (W), Mumbai,",Dr.Vaze Hospital
19.0163387,72.8401024,Avani 2Nd Floor Senapati Bapat Marg Dadar(W),Nerkar Surgical Clinic
19.0207984,72.8384577,"12, Gyan Mandir Road, Dadar(W Rly)",Shree Vardhaman Sthanakvasi Jain Shravak Sangh Dadar Sanchalit Navneet Jain Health Centre
19.021324,72.8424178,Anil Apartment Ist Floor College Street Behind Prabhadevi Teleophone Exchange Agar Bazar Dadar Mumbai,Shreedhar Hospital
19.0213255,72.8397884,"698-B,Ranade Road, Dadar",Shushrusha Citizens` Co-Op Hospital Ltd.
19.0241157,72.8365432,"Meghdoot, S H Paralkar Marg, Shivaji Park, Dadar",Urology and Infertility Clinic Dadar
19.0241157,72.8365432,"Meghdoot, S H Paralkar Marg, Shivaji Park, Mumbai",Vijeet Stone Center
19.0242735,72.8379211,"Udyam, Ranade Road Shivaji Park, Mumbai-",Well Spring Dr Avinash Phadke Pathlab Clinic
19.0759837,72.8776559,Vasi,Ishanni Urology Center
19.0759837,72.8776559,Pupala Sadan,Worli Hospital For Women
19.0151285,72.8580644,Mynest 262 Wadala,Rotunda Nursing Home
18.9655331,72.8165727,"17/1, Vijay Niwas, R.A.K Road Wadala (W) Mumbai",Shobha Maternity and Surgical Home
19.0097727,72.9017603,Royal Garden Next To Girnar Tower Ambawadi Kalachowki Mumbai,Aryan Hospital and Icu
19.1822352,72.9468948,"A-10-384, Apurva Apartment Govardhan Nagar",Dr Redkars Maternity and Nursing Home
19.0759837,72.8776559,Ashish Bldg,Janakee Nursing Home
18.9681499,72.8122442,"Famous Lab, 156, Pt. M. M. Malviya Road, Opp Tardeo Bus Depot, Tardeo, Mumbai,",Nova Medical Centers Pvt Ltd
18.9746477,72.8128577,"Between Cross Roads Shopping Centre And Tardeo A/C Market, 50/56, Tardeo Road, Mumbai",Shetty Nursing Home (Shetty Health Services Pvt. Ltd.)
18.9746477,72.8128577,50/56 Tardeo Road,Shetty Nurshing Home
19.0743137,72.8278871,"941-20, Punjabi Colony, G T B Nagar, Mumbai-",Dr Gupta Clinic And Day Carecentre
19.0088678,72.8573828,"4, Margaret House, Opp Indian Oil, Wadala (E),Mumbai",Genesis Speciality Center (Health-Check Up
19.0283439,72.869804,"Mistry Park Building No.2, C Wing, Ground Floor, S.M.Road, Antop Hill, Mumbai",Jyoti Nursing Home
19.0151285,72.8580644,Wadala Mumbai,Micro Care Diagnostic Centre
19.0759837,72.8776559,Kanjumarg(E),Amey Eye Care Centre
19.1316889,72.9351934,Kanjur Marg-(E)Mumbai,Aniket Nuring Home
19.1308769,72.9359605,"Shree Vijay Kunj, Cooperative Housing Society,",Ankur Maternity and Surgical Nursing Home
19.1375536,72.9350174,"Shop No 1, Hema Park, Veer Savarkar Marg, Bhandup East Mumbai",Shaily Nursing Home
19.0493908,72.9145327,Plot No. 3 A-3/4 & 3/ Shivaji Nagar Main Rd Govandi Mumbai,Bombay City Hospital
19.051694,72.930923,"Bldg No:23/695, P.M.G.P Coloney Mankhurd (W)",Dr. Tidke Hospital
19.0520628,72.9272317,"Lallubhai Compount, Mankhurd, Mumbai",Ekta Nursing Home and Polyclinic
19.051694,72.930923,"Bldg. No.89, Flat No.4 To 7, Mhada Colony, P.M.G.P. Colony, Mankhurd, Mumbai",Omkar Nursing Home
19.0489198,72.9143346,"3/A/5, Shivaji Nagar, Main Road Govandi, Mumbai",Royal Nursing Home
19.0511,72.9205,"Plot No.44,A-1-2-3, Shivaji Nagar, Main Road, Govandi, Mumbai",Shree Mahaveer Nursing Home - Govandi-Mumbai
19.055124,72.9154653,"Plot No-18-U-1-1(A) & 2, Near Bhaji Market, Shivaji Nagar, Govandi, Mumbai",Vikas Nursing Home
19.110608,72.832553,"12/223 Juhu Sheetal, Gulmohar Cross Road 9, J.V.P.D. Scheme, Mumbai",Center For Cataract Surgery - Mumbai
19.1080574,72.8290035,"2, Ashok Nagar Society, North South Road No-11, Juhu-Scheme, Mumbai",Dr.Daftarys Total Care Clinic
19.1067104,72.829273,"Ashok Nagar, Society N S Road No 11, Juju Scheme Mumbai-",Juhu Clinical Laboratory
19.1102949,72.8409693,"B-201,Dhruv Opposite Gagandeep, Gulmohar Main Road Juhu Vile Parle (W)",Laser Institute Of Laser Medicine
19.1102949,72.8409693,"12/223, Juhu Sheetal,Jvpd Scheme, 9Th Gulmohar Cross Rd,Vile Parle(W), Mumbai",Oculus Eye Hospital Pvt. Ltd
19.1483497,72.8404703,Andheri-Oshiwara,Pushpa Hospital
19.1086051,72.8267176,"N.S. Road No.13, Juhu Scheme, Vile Parle (W)",Sheth Kantilal C. Parikh General Hospital
19.1141161,72.8393625,"B-201 /202, Dhruv Gulmohar Main Road., Nr, Juhu Lane,Vile Parle (W)",Shree Hi- Tech Clinic Pvt. Ltd. /Laserx
19.1160222,72.8313139,"25, Gulmohar Park Gulmohar Road, Juhu Scheme Vile Parle - West Mumbai",Sujay Hospital
19.110608,72.832553,"101,Hiralaya,N.S.Road No.10,Laxmikant Chowk,Jvpd Scheme,Vile Parle(W)",The Vission Eye Centre
19.0616128,72.83184,5 Gurmukh Sagar Next To Durelo Convent 29Th Road Bandra W Mumbai,Bandra Pathology Laboratory
19.0606917,72.8362497,"4, Hilton, First Floor, Opp Elco Arcade, Hill Road, Bandra West, Mumbai",Ceds The Cneter Of Eye Dianostics And Surgery
19.0622209,72.8357525,"Renuka, 269/ D, Linking Road, Bandra",Devi Maternity and Surgical
19.0636199,72.8351453,"Renuka, Gr Flr 269-D, Nr National College, Linking Road Bandra W)",Dr A K Chandiramani Hospital
19.0557586,72.8319193,4 A Bindia 1St Floor Opp Bank Of India 51 Hill Rd Bandra West,Dr Jains Dental Speciality Centre
19.0606917,72.8362497,1St Floor Hill View Mount View Co Op Hsg Soc Opp Mehboob Studio Patel Stores Hill Raod Bandra West,Dr Mukul Dabholkar Bandra
19.0606917,72.8362497,"1 Flr,Kakad Apartments, 4 Pali Road, Bandru West. Bandra (W)",Dr. Pattnaiks Nursing Home
19.0606917,72.8362497,"Hill - N - Dale Building, Hill Road, Near Bandra Police Station, Bandra (West)",Dr. R. N. Shetty's Nursing Home
19.0606917,72.8362497,Bandra Mumbai,Dr.Mira Raisinghaney Maternity and Surgical Nursing
19.0606917,72.8362497,52 Natasha 3Rd Floor Hill Road Bandra W,Empire Centre
19.0799499,72.8367149,"St.Andrew's Road,Bandra West,Bandra.",Holy Family Hospital
19.0606917,72.8362497,Ground Floor Surya Bldg Opp Holy Family Hospital 79 Hill Road Bandra,Kiddie Ville Clinic
19.0606917,72.8362497,"A-791, 2Nd Floor, Bandra Reclamation,Near Mount Caramel Church, Bandra.",Lilavati Hospital And Research Centre
19.057173,72.8393225,"Opp,Lake.S.V Road,Bandra(West),Mumbai",Mahatma Gandhi Seva Mandir
19.0606917,72.8362497,"403/B, 4Th Floor, Plot No-184 Bandra(W) Mumbai",Mumbai Cancer Clinic
19.0606917,72.8362497,"Ground Floor, Shroff Eye Hospital,222S.V. Road , Bandra West",Neisa Laser Centre
